"nome","resumo","coordenador"
"ESTUDO DAS CARACTERÍSTICAS E RESISTÊNCIAS DAS AREIAS DO ESTADO DO RIO DE JANEIRO","Em breve este conteúdo estará disponível.","Bruno Teixeira Lima "
"MONITORIA DE ISOSTÁTICA","Em breve este conteúdo estará disponível.","Elaine Toscano Fonseca "
"APLICAÇÃO DE TÉCNICAS DE IA DESENVOLVIMENTO DE SOFTWARE E CONFIABILIDADE NA AVALIAÇÃO DE ESTRUTURAS","Em breve este conteúdo estará disponível.","Fernanda Lins Gonçalves Pereira "
"ARQUITETURA 1","Em breve este conteúdo estará disponível.","Flávia Schmidt De Andrade Lima "
"MONITORIA EM MATERIAIS DE CONSTRUÇÃO II","Em breve este conteúdo estará disponível.","Kissila Botelho Goliath "
"MONITORIA EM HIDRÁULICA TEÓRICA","Em breve este conteúdo estará disponível.","Maria Georgina Muniz Washington "
